row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
1,2378,0," "," ",html-button-response,0,2405,5d14fc1506d74500016a84a9,typicality,NULL
2,28137,NULL," "," ",instructions,1,30545,5d14fc1506d74500016a84a9,typicality,NULL
3,26301,NULL,NULL,NULL,survey-text,2,56855,5d14fc1506d74500016a84a9,typicality,"{"Q0":"To click on the number that is more strange, weird, or unusual."}"
4,2997,0,zero_10.png,zero_8.png,html-button-response,3,59857,5d14fc1506d74500016a84a9,typicality,NULL
5,2172,0,one_2.png,one_6.png,html-button-response,4,62030,5d14fc1506d74500016a84a9,typicality,NULL
6,2560,1,one_8.png,one_1.png,html-button-response,5,64592,5d14fc1506d74500016a84a9,typicality,NULL
7,2446,1,five_2.png,five_5.png,html-button-response,6,67040,5d14fc1506d74500016a84a9,typicality,NULL
8,1948,1,seven_7.png,seven_5.png,html-button-response,7,68990,5d14fc1506d74500016a84a9,typicality,NULL
9,2624,1,five_1.png,five_6.png,html-button-response,8,71616,5d14fc1506d74500016a84a9,typicality,NULL
10,1332,1,nine_9.png,nine_4.png,html-button-response,9,72950,5d14fc1506d74500016a84a9,typicality,NULL
11,2778,1,zero_3.png,zero_10.png,html-button-response,10,75730,5d14fc1506d74500016a84a9,typicality,NULL
12,2064,1,three_10.png,three_7.png,html-button-response,11,77796,5d14fc1506d74500016a84a9,typicality,NULL
13,2132,0,four_1.png,four_7.png,html-button-response,12,79930,5d14fc1506d74500016a84a9,typicality,NULL
14,1508,0,two_1.png,two_7.png,html-button-response,13,81440,5d14fc1506d74500016a84a9,typicality,NULL
15,2456,1,six_9.png,six_1.png,html-button-response,14,83897,5d14fc1506d74500016a84a9,typicality,NULL
16,2662,1,eight_10.png,eight_8.png,html-button-response,15,86562,5d14fc1506d74500016a84a9,typicality,NULL
17,2111,1,two_6.png,two_10.png,html-button-response,16,88673,5d14fc1506d74500016a84a9,typicality,NULL
18,1996,1,six_5.png,six_1.png,html-button-response,17,90671,5d14fc1506d74500016a84a9,typicality,NULL
19,3611,0,two_8.png,two_4.png,html-button-response,18,94283,5d14fc1506d74500016a84a9,typicality,NULL
