,row,rt,button_pressed,left_image,right_image,trial_type,trial_index,time_elapsed,subject_id,task,responses
1,3,26301,NULL,NULL,NULL,survey-text,2,56855,5d14fc1506d74500016a84a9,typicality,"{""Q0"":""To click on the number that is more strange, weird, or unusual.""}"
2,106,61681,NULL,NULL,NULL,survey-text,2,72494,5d14fb507091ed0019774f6a,typicality,"{""Q0"":""I think I would need to choose which of the following handwritten digits seem the most peculiar to my eyes.""}"
3,209,45689,NULL,NULL,NULL,survey-text,2,67620,5d14f036dfb2040019a73258,typicality,"{""Q0"":""You'd want me to choose the more \""unusual\"" or the digit that isn't as commonly seen.""}"
,,,,,,,,,,,
,,,,,,,,,,,
6,518,16733,NULL,NULL,NULL,survey-text,2,43085,5d14e8b5bc2e6f001b048c50,typicality,"{""Q0"":""You want me to pick the handwritten number that looks unusual or atypical to me.""}"
7,621,32052,NULL,NULL,NULL,survey-text,2,50705,5cf9ffc18af2720019b03310,typicality,"{""Q0"":""Which image looks \""strange\"" or \""unusual.\"" Or even \""different\"" from what I've seen before.""}"
8,724,29722,NULL,NULL,NULL,survey-text,2,89348,5d1002fc0277ff00192f76dd,typicality,"{""Q0"":""The most unusual and less recognizable form of handwritten""}"
9,827,37190,NULL,NULL,NULL,survey-text,2,93887,5a9675bfb5e2110001c69f33,typicality,"{""Q0"":""You want us to click on on the image that looks the weirdest.""}"
10,930,21042,NULL,NULL,NULL,survey-text,2,52153,5c73b7351917dc000153e107,typicality,"{""Q0"":""Most unusual, weirder version of handwritten digits.""}"
,,,,,,,,,,,
12,1136,19352,NULL,NULL,NULL,survey-text,2,86908,5cb8d983f7b6150017adcf39,typicality,"{Q0"":You wish for us to choose the \""weirder of the pair of digits\""}"
13,1239,48470,NULL,NULL,NULL,survey-text,2,71286,5d0bdbfcdea6ce001855599f,typicality,"{""Q0"":""Click on what I perceive to be the most unusual of the digits shown""}"
14,1342,28527,NULL,NULL,NULL,survey-text,2,57805,5c37c990fd3209000147665c,typicality,"{""Q0"":""By tapping the weirder-looking one.""}"
15,1445,49257,NULL,NULL,NULL,survey-text,2,67929,5d14f4afcc9ce80001c2b6be,typicality,"{""Q0"":""Pick the one that looks more unusual""}"
16,1548,47194,NULL,NULL,NULL,survey-text,2,106443,5bbc0997f1f9ba000141cf0f,typicality,"{""Q0"":""choose the inusual form""}"
17,1651,101960,NULL,NULL,NULL,survey-text,2,131048,5d1508a5206cae0001e6f4fe,typicality,"{""Q0"":""I believe you want me to choose one that differs most from the handwriting I am used to and handwriting I consider normal""}"
18,1754,26783,NULL,NULL,NULL,survey-text,2,34039,5d14a918834df20001360320,typicality,"{""Q0"":""Choosing the most unusual looking image""}"
,,,,,,,,,,,
20,1960,23288,NULL,NULL,NULL,survey-text,2,36371,5d150669b296b500187df8f9,typicality,"{""Q0"":""you want me to decide which digit is the most recognisable version when handwritten""}"
,,,,,,,,,,,
22,2166,42372,NULL,NULL,NULL,survey-text,2,48863,5be4a509c860ad0001438fd9,typicality,"{""Q0"":""Which one looks more uncommon/weird""}"
,,,,,,,,,,,
24,2372,46308,NULL,NULL,NULL,survey-text,2,65610,5984f13fe684850001dfd582,typicality,"{""Q0"":""Irregularities ""}"
25,2475,15412,NULL,NULL,NULL,survey-text,2,46026,5cacd94d51928b0017495a2f,typicality,"{""Q0"":""I need to pick the ones I find most strange/ am not used to seeing""}"
26,2578,57775,NULL,NULL,NULL,survey-text,2,92482,5c2d1e6777e4bb00013e0ec1,typicality,"{""Q0"":""which ever looks the most different to what is normally used should be selected ""}"
27,2681,49725,NULL,NULL,NULL,survey-text,2,88772,590f950911066300017bfb1c,typicality,"{""Q0"":""I should click the image of the handwritten digit that looks the least typical, the strangest one.""}"
,,,,,,,,,,,
29,2887,39227,NULL,NULL,NULL,survey-text,2,64610,5d14b72240acf5001688cd9b,typicality,"{""Q0"":""Whichever one I find to be more out of the ordinary of what I expect a handwritten number to look like""}"
,,,,,,,,,,,
,,,,,,,,,,,
32,3196,48162,NULL,NULL,NULL,survey-text,2,70370,5d15092a2e432a001c963fd1,typicality,"{""Q0"":""I am requested to choose the digit whose appearance looks \""weirder\"" or more unusual to me.""}"
,,,,,,,,,,,
34,3402,83668,NULL,NULL,NULL,survey-text,2,135551,5d0a45a481f36c0019ad8170,typicality,"{""Q0"":""We are to click the image of the written digit that we find visually most unusual.""}"
35,3505,22303,NULL,NULL,NULL,survey-text,2,46351,5c90e35694f7e600192fa1fc,typicality,"{""Q0"":""Choose the image which is more weird or obscure ""}"
36,3608,32853,NULL,NULL,NULL,survey-text,2,65268,5d0156855ba7d1000144bc20,typicality,"{""Q0"":""Pick the one that looks the weirdest""}"
37,3711,12155,NULL,NULL,NULL,survey-text,2,50725,5d061c26dcd6c0001a2e4b96,typicality,"{""Q0"":""Click on the image that looks weirder to me""}"
38,3814,41608,NULL,NULL,NULL,survey-text,2,93982,5bb4f1afd1af850001d2cb61,typicality,"{""Q0"":""I believe that the survey wants me to choose out of the pair which number looks a bit off from a regular number.""}"
39,3917,113927,NULL,NULL,NULL,survey-text,2,155956,5c0fe3d71294390001482db2,typicality,"{""Q0"":""I think we should choose te digits that are not so usual to see or to see in a daily basis""}"
40,4020,93975,NULL,NULL,NULL,survey-text,2,130756,5c3f1d6522d8d800015b6e58,typicality,"{""Q0"":""You want to me to choose (between two different handwritings) the most unusual or the weirdest, in my point of view.""}"
41,4123,33765,NULL,NULL,NULL,survey-text,2,61237,5cff2e1decc4ee0018d200e8,typicality,"{""Q0"":""You want me to choose the most unusual digit out of a pair.""}"
,,,,,,,,,,,
43,4329,88930,NULL,NULL,NULL,survey-text,2,149164,5bee967e6a4524000142532d,typicality,"{""Q0"":""You want me to click on the picture that has the number written the strangest way visually ""}"
,,,,,,,,,,,
45,4535,312193,NULL,NULL,NULL,survey-text,2,348253,574085f21407a3000f772425,typicality,"{""Q0"":""The survey requests that I compare a pair handwritten digits to determine a perception of 'typicality'   ""}"
46,4638,50106,NULL,NULL,NULL,survey-text,2,88689,5d14f01dcd4b9c000184627b,typicality,"{""Q0"":""Indicate which hand written number appears as most unusual from the sets that will be shown to me. ""}"
47,4741,135955,NULL,NULL,NULL,survey-text,2,173085,5d0178545b01d2001971f059,typicality,"{""Q0"":""I am going to see pairs of pictures of handwritten numbers. This survey wants me to click on the ones I find weird or surprising.""}"
48,4844,16178,NULL,NULL,NULL,survey-text,2,18828,546e3c21fdf99b2b8df983fd,typicality,"{""Q0"":""The most unique and unusual images in a pair""}"
49,4947,362087,NULL,NULL,NULL,survey-text,2,398040,5cf92c7255e1370001e54adb,typicality,"{""Q0"":""Choose the image which looks weird for me""}"
50,5050,11201,NULL,NULL,NULL,survey-text,2,45865,5921c56653cb680001205679,typicality,"{""Q0"":""click on the one which is weirder""}"
51,5153,27117,NULL,NULL,NULL,survey-text,2,76802,59d8c65db656e70001226269,typicality,"{""Q0"":""Choose the digit that looks more unusual to me""}"
,,,,,,,,,,,
53,5359,36727,NULL,NULL,NULL,survey-text,2,59307,5d1cc8c3baf85a0001fcd973,typicality,"{""Q0"":""I believe I am being asked to select the image that looks more unusual and less typical, based on my experience of seeing how people handwrite numerals.""}"
54,5462,70071,NULL,NULL,NULL,survey-text,2,145970,5bf1872af5e4460001e02e93,typicality,"{""Q0"":""I should choose more strange image.""}"
55,5565,18598,NULL,NULL,NULL,survey-text,2,27528,558ef3adfdf99b3a5619b89f,typicality,"{""Q0"":""pick the ones that look \""weird\"" (or at least, weirdest) to me. ""}"
,,,,,,,,,,,
57,5771,13033,NULL,NULL,NULL,survey-text,2,43792,5d1cce16c123350001fa477c,typicality,"{""Q0"":""Which ones look unusual or surprising ""}"
,,,,,,,,,,,
,,,,,,,,,,,
60,6080,49975,NULL,NULL,NULL,survey-text,2,99825,5d1cde07d58098001a8ae70c,typicality,"{""Q0"":""You want the one with the out of place digits that look weird to be clicked.""}"
